id_item,id_question,enunciate,id_concept,id_misconception,correct_item
1A,1,"aproximadamente a metade do tempo para a bola mais pesada em comparação com a mais leve.",TF7,G3,FALSE
1B,1,"aproximadamente a metade do tempo para a bola mais leve em comparação com a mais pesada.",TF7,G2,FALSE
1C,1,"aproximadamente o mesmo para ambas as bolas.",TF7,TF7,TRUE
1D,1,"consideravelmente menor para a bola mais pesada, mas não necessariamente a metade do tempo.",TF7,G2,FALSE
1E,1,"consideravelmente menor para a bola mais leve, mas não necessariamente a metade do tempo.",TF7,G2,FALSE
2A,2,"Ambas as bolas atingem o chão aproximadamente à mesma distância horizontal da base da mesa.",TF7,TF7,TRUE
2B,2,"A bola mais pesada atinge o chão a cerca da metade da distância horizontal da base da mesa em comparação com a bola mais leve.",TF7,G3,FALSE
2C,2,"A bola mais leve atinge o chão a cerca da metade da distância horizontal da base da mesa em comparação com a bola mais pesada.",TF7,G2,FALSE
2D,2,"A bola mais pesada atinge o chão consideravelmente mais perto da base da mesa do que a bola mais leve, mas não necessariamente a metade da distância horizontal.",TF7,G3,FALSE
2E,2,"A bola mais leve atinge o chão consideravelmente mais perto da base da mesa do que a bola mais pesada, mas não necessariamente a metade da distância horizontal.",TF7,G2,FALSE
3A,3,"Atinge uma velocidade máxima logo após ser solta e depois cai a uma velocidade constante.",TF6,AF6,FALSE
3B,3,"Acelera à medida que cai porque a atração gravitacional fica consideravelmente mais forte à medida que a pedra se aproxima da Terra.",TF6,AF5,FALSE
3C,3,"acelera devido a uma força quase constante da gravidade agindo sobre ela.",TF6,TF6,TRUE
3D,3,"Cai devido à tendência natural de todos os objetos descansarem na superfície da Terra.",TF6,G2,FALSE
3E,3,"Cai devido aos efeitos combinados da força da gravidade empurrando-a para baixo e da força do ar empurrando-a para baixo.",TF6,G1,FALSE
4A,4,"O caminhão exerce uma quantidade maior de força sobre o carro do que o carro exerce sobre o caminhão.",TL1,AR1,FALSE
4B,4,"O carro exerce uma quantidade maior de força sobre o caminhão do que o caminhão exerce sobre o carro.",TL1,CI1,FALSE
4C,4,"Nenhum deles exerce uma força sobre o outro, o carro é esmagado simplesmente porque fica no caminho do caminhão.",TL1,OB,FALSE
4D,4,"O caminhão exerce uma força sobre o carro, mas o carro não exerce uma força sobre o caminhão.",TL1,AR1,FALSE
4E,4,"O caminhão exerce a mesma quantidade de força sobre o carro que o carro exerce sobre o caminhão.",TL1,TL1,TRUE
5A,5,"Apenas A.",PS2,AF1,FALSE
5B,5,"Forças A e B.",PS2,PS2,TRUE
5C,5,"Forças A e C.",PS2,AF1,FALSE
5D,5,"Forças A, B e C.",PS2,AF3,FALSE
5E,5,"Forças A, C e D.",PS2,CF,FALSE
6A,6,"Trajetória 1.",PL1,I5,FALSE
6B,6,"Trajetória 2.",PL1,PL1,TRUE
6C,6,"Trajetória 3.",PL1,CF,FALSE
6D,6,"Trajetória 4.",PL1,CI2,FALSE
6E,6,"Trajetória 5.",PL1,CF,FALSE
7A,7,"Trajetória 1.",PL1,I5,FALSE
7B,7,"Trajetória 2.",PL1,PL1,TRUE
7C,7,"Trajetória 3.",PL1,CF,FALSE
7D,7,"Trajetória 4.",PL1,I5,FALSE
7E,7,"Trajetória 5.",PL1,CF,FALSE
8A,8,"Trajetória 1.",SL1,CI3,FALSE
8B,8,"Trajetória 2.",SL1,SL1,TRUE
8C,8,"Trajetória 3.",SL1,I2,FALSE
8D,8,"Trajetória 4.",SL1,I4,FALSE
8E,8,"Trajetória 5.",SL1,I2,FALSE
9A,9,"Igual à velocidade v0 que ele tinha antes de receber o chute.",C5,CI3,FALSE
9B,9,"Igual à velocidade vk resultante do chute e independente da velocidade v0.",C5,CI3,FALSE
9C,9,"Igual à soma aritmética das velocidades v0 e vk.",C5,K3,FALSE
9D,9,"menor que qualquer uma das velocidades v0 ou vk.",C5,AF7,FALSE
9E,9,"maior que qualquer uma das velocidades v0 ou vk, mas menor que a soma aritmética dessas duas velocidades.",C5,C5,TRUE
10A,10,"é constante.",PL3,PL3,TRUE
10B,10,"Aumenta continuamente.",PL3,I4,FALSE
10C,10,"Diminui continuamente.",PL3,I3,FALSE
10D,10,"Aumenta por um tempo e diminui depois.",PL3,I4,FALSE
10E,10,"É constante por um tempo e diminui depois.",PL3,I4,FALSE
11A,11,"Uma força descendente da gravidade.",PS2,OB,FALSE
11B,11,"Uma força descendente da gravidade e uma força horizontal na direção do movimento.",PS2,OB,FALSE
11C,11,"Uma força descendente da gravidade, uma força ascendente exercida pela superfície e uma força horizontal na direção do movimento.",PS2,I1,FALSE
11D,11,"uma força descendente da gravidade e uma força ascendente exercida pela superfície.",PS2,PS2,TRUE
11E,11,"Nenhuma. (Nenhuma força age sobre o disco de hóquei)",PS2,G2,FALSE
12A,12,"Trajetória 1.",TF8,CI2,FALSE
12B,12,"Trajetória 2.",TF8,TF8,TRUE
12C,12,"Trajetória 3.",TF8,I3,FALSE
12D,12,"Trajetória 4.",TF8,G5,FALSE
